Name;y2013
Abrahamsson;9669
Ali;9838
Andersson;248374
Andreasson;9482
Arvidsson;13443
Axelsson;22631
Bengtsson;33903
Berg;21597
Berggren;11211
Berglund;19283
Bergman;14247
Bergqvist;13480
Bergström;21256
Björk;14195
Björklund;11407
Blom;9486
Blomqvist;12599
Börjesson;0
Claesson;12703
Dahlberg;9925
Danielsson;15525
Ek;9375
Eklund;15369
Ekström;10284
Eliasson;11665
Engström;15497
Eriksson;145981
Falk;9727
Forsberg;16639
Fransson;14252
Fredriksson;18400
Gunnarsson;14540
Gustafsson;96380
Göransson;0
Hansen;8859
Hansson;43430
Hedlund;10091
Hellström;9885
Henriksson;17608
Hermansson;10488
Holm;14337
Holmberg;13231
Holmgren;10233
Holmqvist;8647
Håkansson;15449
Isaksson;13850
Ivarsson;0
Jakobsson;26647
Jansson;49554
Johansson;248175
Jonasson;8970
Jonsson;73144
Josefsson;0
Jönsson;31783
Karlsson;220418
Larsson;123348
Lind;20016
Lindberg;27565
Lindgren;22978
Lindholm;8671
Lindqvist;22992
Lindström;25152
Lund;10760
Lundberg;21261
Lundgren;20626
Lundin;15117
Lundqvist;20152
Lundström;11993
Löfgren;12819
Magnusson;26410
Martinsson;9600
Mattsson;19986
Mohamed;9776
Månsson;9351
Mårtensson;12464
Nilsson;169160
Norberg;8822
Nordin;10765
Nordström;12152
Nyberg;12621
Nyström;13270
Olofsson;26184
Olsson;112764
Persson;106633
Pettersson;94794
Pålsson;11617
Samuelsson;14257
Sandberg;17796
Sandström;10827
Sjöberg;16494
Sjögren;9820
Ström;10637
Strömberg;9080
Sundberg;10086
Sundqvist;0
Sundström;8785
Svensson;100469
Söderberg;12710
Söderström;0
Wallin;15802
Viklund;11388
Wikström;13963
Åberg;10505
Åkesson;9083
Åström;8748
Öberg;9495
